n_agents,n_waters,layout,arch_label,architecture,broadcast_every_k,hazard_density,n_seeds,success_rate_mean,success_rate_std,mean_t_succ_mean,mean_t_succ_std,p95_t_succ_mean,total_trail_mean,n_hazard_hits_mean,scarcity
5,2,asymmetric,peer(K=8),peer,8,0.05,20,0.4,0.0,4.5,0.0,5.0,170.0,14.5,2.5
5,2,asymmetric,peer(K=8),peer,8,0.1,20,0.4,0.0,4.5,0.0,5.0,170.0,38.2,2.5
5,2,asymmetric,shared,shared,-1,0.0,20,0.4,0.0,4.5,0.0,5.0,137.0,0.0,2.5
5,2,asymmetric,shared,shared,-1,0.05,20,0.4,0.0,4.5,0.0,5.0,137.0,19.7,2.5
5,2,asymmetric,shared,shared,-1,0.1,20,0.4,0.0,4.5,0.0,5.0,137.0,44.85,2.5
5,2,random,centralized,centralized,-1,0.0,20,0.38,0.061558701125109264,13.0,9.887525367590055,19.55,183.0,0.0,2.5
5,2,random,centralized,centralized,-1,0.05,20,0.38,0.06155870112510925,13.0,9.887525367590055,19.55,183.0,21.6,2.5
5,2,random,centralized,centralized,-1,0.1,20,0.38,0.06155870112510926,13.0,9.887525367590055,19.55,183.0,30.1,2.5
5,2,random,independent,independent,-1,0.0,20,0.36,0.08207826816681234,9.6,6.410517673488254,12.85,195.4,0.0,2.5
5,2,random,independent,independent,-1,0.05,20,0.36,0.08207826816681232,9.6,6.410517673488254,12.85,195.4,26.25,2.5
5,2,random,independent,independent,-1,0.1,20,0.36,0.08207826816681234,9.6,6.410517673488254,12.85,195.4,37.55,2.5
5,2,random,peer(K=1),peer,1,0.0,20,0.38,0.061558701125109264,13.05,9.8740755729867,19.6,177.85,0.0,2.5
5,2,random,peer(K=1),peer,1,0.05,20,0.38,0.06155870112510925,13.05,9.8740755729867,19.6,177.85,23.15,2.5
5,2,random,peer(K=1),peer,1,0.1,20,0.38,0.06155870112510925,13.05,9.8740755729867,19.6,177.85,35.45,2.5
5,2,random,peer(K=16),peer,16,0.0,20,0.38,0.06155870112510925,13.55,12.309495692778253,20.4,186.0,0.0,2.5
5,2,random,peer(K=16),peer,16,0.05,20,0.38,0.06155870112510925,13.55,12.309495692778253,20.4,186.0,22.25,2.5
5,2,random,peer(K=16),peer,16,0.1,20,0.38,0.06155870112510925,13.55,12.309495692778253,20.4,186.0,35.15,2.5
5,2,random,peer(K=2),peer,2,0.0,20,0.39,0.04472135954999581,12.0,7.662279446469534,17.55,173.15,0.0,2.5
5,2,random,peer(K=2),peer,2,0.05,20,0.39,0.04472135954999581,12.0,7.662279446469534,17.55,173.15,19.35,2.5
5,2,random,peer(K=2),peer,2,0.1,20,0.39,0.044721359549995815,12.0,7.662279446469534,17.55,173.15,37.25,2.5
5,2,random,peer(K=4),peer,4,0.0,20,0.37,0.0978720969859186,12.447368421052632,7.5072090109775775,18.57894736842105,180.35,0.0,2.5
5,2,random,peer(K=4),peer,4,0.05,20,0.37,0.0978720969859186,12.447368421052632,7.507209010977577,18.57894736842105,180.35,12.3,2.5
5,2,random,peer(K=4),peer,4,0.1,20,0.37,0.0978720969859186,12.447368421052632,7.507209010977577,18.57894736842105,180.35,40.45,2.5
5,2,random,peer(K=8),peer,8,0.0,20,0.37,0.0978720969859186,12.473684210526315,8.561012537808518,18.63157894736842,194.5,0.0,2.5
5,2,random,peer(K=8),peer,8,0.05,20,0.37,0.0978720969859186,12.473684210526315,8.561012537808516,18.63157894736842,194.5,14.05,2.5
5,2,random,peer(K=8),peer,8,0.1,20,0.37,0.0978720969859186,12.473684210526315,8.561012537808518,18.63157894736842,194.5,33.45,2.5
